"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/2023/19CHE203 _III Sem Mid-Term_Odd 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Mechanical & Aerospace/B.Tech/Core/2023/MidTerm/19CHE203_Mechanical_Operations_MidTerm_2023.pdf","19CHE203","Mechanical Operations","Mechanical & Aerospace","B.Tech","Sem03","2023","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2011/Second semester 2011/CHY100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Chemical Sciences/B.Tech/Core/2011/EndSem/CHY100_Chemistry_EndSem_2011.pdf","CHY100","Chemistry","Chemical Sciences","B.Tech","Sem01","2011","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third semester 2014 Regular/PHY261QP MAIL.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/B.Tech/Core/2014/EndSem/PHY261_Lasers_in_Material_Processing_EndSem_2014.pdf","PHY261","Lasers in Material Processing","Physical Sciences","B.Tech","Sem03","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MSW/4th Semester/Fourth Semester 2018 Regular/15SWK633_IVSem_April-May2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/MSW/Core/2018/EndSem/15SWK633_Climate_Change_and_Sustainable_Development_EndSem_2018.pdf","15SWK633","Climate Change and Sustainable Development","Humanities & Social Sciences","MSW","Sem04","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2025/Fifth semester 2025 Mid Term/23CIE304 _V Sem Mid Term_Odd 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electrical & Electronics/B.Tech/Core/2025/MidTerm/23CIE304_Transportation_Engineering_–_II_MidTerm_2025.pdf","23CIE304","Transportation Engineering – II","Electrical & Electronics","B.Tech","Sem05","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/2nd Semester/2023/21BM613 _I Ass April 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/M.Tech/Core/2023/Ass1/21BM613_Medical_Imaging_Techniques_and_Processing_Ass1_2023.pdf","21BM613","Medical Imaging Techniques and Processing","Biotechnology & Health","M.Tech","Sem02","2023","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/4th Semester/2022/18PHY214_IV Sem May2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/Integrated M.Sc./Core/2022/EndSem/18PHY214_Waves_and_Optics_EndSem_2022.pdf","18PHY214","Waves and Optics","Physical Sciences","Integrated M.Sc.","Sem04","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/Fourth semester 2013 Supply/ECE212.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2013/EndSem/ECE212_Introduction_to_Embedded_Systems_EndSem_2013.pdf","ECE212","Introduction to Embedded Systems","Electronics & Communication","B.Tech","Sem04","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/PG/M. A. English Literature & Literary Theory/3rd Semester/21ELL633 _II Ass Oct 2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/M.Sc./Core/2022/Ass2/21ELL633_Indian_Women_Novelists_in_English_Ass2_2022.pdf","21ELL633","Indian Women Novelists in English","Humanities & Social Sciences","M.Sc.","Sem03","2022","Ass2","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/7th Semester/2023/18CSC401_VII Sem End_Odd 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/Integrated M.Sc./Core/2023/EndSem/18CSC401_Parallel_and_Distributing_Systems_EndSem_2023.pdf","18CSC401","Parallel and Distributing Systems","Computer Science & Engineering","Integrated M.Sc.","Sem07","2023","EndSem","high"
